#     Ix      Iy          X              Y               Z
 
     -11       0      -1.54434380E-02   0.00000000E+00   1.34985214E-03
     -11       1      -1.54434380E-02   2.12821053E-03   1.34985214E-03
     -11       2      -1.54434380E-02   4.25642106E-03   1.11432709E-03
     -11       3      -1.54434380E-02   6.38463158E-03   9.03842893E-04
     -11       4      -1.54434380E-02   8.51284211E-03   7.18316628E-04
     -11       5      -1.54434380E-02   1.06410526E-02   5.57675140E-04
     -11       6      -1.54434380E-02   1.27692632E-02   4.21855026E-04
     -11       7      -1.54434380E-02   1.48974737E-02   3.10802636E-04
     -11       8      -1.54434380E-02   1.70256842E-02   2.24474075E-04
     -11       9      -1.54434380E-02   1.91538948E-02   1.62835203E-04
     -11      10      -1.54434380E-02   2.12821053E-02   1.80144817E-04
 
     -10     -10      -1.40394891E-02  -2.12821053E-02   1.30788565E-04
     -10      -9      -1.40394891E-02  -1.91538948E-02   1.43126404E-04
     -10      -8      -1.40394891E-02  -1.70256842E-02   1.80144817E-04
     -10      -7      -1.40394891E-02  -1.48974737E-02   2.41858496E-04
     -10      -6      -1.40394891E-02  -1.27692632E-02   3.28291923E-04
     -10      -5      -1.40394891E-02  -1.06410526E-02   4.39479375E-04
     -10      -4      -1.40394891E-02  -8.51284211E-03   5.75464925E-04
     -10      -3      -1.40394891E-02  -6.38463158E-03   7.36302435E-04
     -10      -2      -1.40394891E-02  -4.25642106E-03   9.22055565E-04
     -10      -1      -1.40394891E-02  -2.12821053E-03   1.13279776E-03
     -10       0      -1.40394891E-02   0.00000000E+00   1.36861228E-03
     -10       1      -1.40394891E-02   2.12821053E-03   1.36861228E-03
     -10       2      -1.40394891E-02   4.25642106E-03   1.13279776E-03
     -10       3      -1.40394891E-02   6.38463158E-03   9.22055565E-04
     -10       4      -1.40394891E-02   8.51284211E-03   7.36302435E-04
     -10       5      -1.40394891E-02   1.06410526E-02   5.75464925E-04
     -10       6      -1.40394891E-02   1.27692632E-02   4.39479375E-04
     -10       7      -1.40394891E-02   1.48974737E-02   3.28291923E-04
     -10       8      -1.40394891E-02   1.70256842E-02   2.41858496E-04
     -10       9      -1.40394891E-02   1.91538948E-02   1.80144817E-04
     -10      10      -1.40394891E-02   2.12821053E-02   1.98701247E-04
 
      -9     -10      -1.26355402E-02  -2.12821053E-02   1.49285139E-04
      -9      -9      -1.26355402E-02  -1.91538948E-02   1.61637937E-04
      -9      -8      -1.26355402E-02  -1.70256842E-02   1.98701247E-04
      -9      -7      -1.26355402E-02  -1.48974737E-02   2.60489818E-04
      -9      -6      -1.26355402E-02  -1.27692632E-02   3.47028232E-04
      -9      -5      -1.26355402E-02  -1.06410526E-02   4.58350904E-04
      -9      -4      -1.26355402E-02  -8.51284211E-03   5.94502082E-04
      -9      -3      -1.26355402E-02  -6.38463158E-03   7.55535846E-04
