Lattice   = `/home/shanksj/CesrTA/lat/cta_2085mev_xr20m_20091205_quad_ma10pct.lat_and_layout'
 File_name = `tunescan.in'
data_date = ` 2010-03-10 15:46:12'
 Return
 
!  Q_x0 = 0.500  Q_y0 = 0.500  Q_x1 = 0.660  Q_y1 = 0.660  Q_z = 0.000
 
!   Q_x       Q_y       Q_z      x_end       y_end      amp_x_max   amp_y_max   Turns   
   0.51200   0.57400  -0.06590 -0.1148E-02 -0.4092E-02    0.1538E+01  0.1072E+01      1001
   0.51200   0.57600  -0.06590 -0.4549E-02 -0.6475E-03    0.1496E+01  0.1090E+01      1001
   0.51200   0.57800  -0.06590 -0.3772E-02 -0.1527E-02    0.1512E+01  0.1081E+01      1001
   0.51200   0.58000  -0.06590 -0.3715E-02 -0.2403E-02    0.1508E+01  0.1076E+01      1001
   0.51200   0.58200  -0.06590 -0.3342E-02 -0.1672E-02    0.1504E+01  0.1075E+01      1001
   0.51200   0.58400  -0.06590 -0.3064E-02 -0.1489E-02    0.1508E+01  0.1060E+01      1001
   0.51200   0.58600  -0.06590 -0.3139E-02 -0.1104E-02    0.1520E+01  0.1061E+01      1001
   0.51200   0.58800  -0.06590 -0.3153E-02 -0.3461E-03    0.1483E+01  0.1056E+01      1001
   0.51200   0.59000  -0.06590 -0.2793E-02  0.5028E-04    0.1507E+01  0.1069E+01      1001
   0.51200   0.59200  -0.06590 -0.2958E-02  0.1843E-02    0.1524E+01  0.1061E+01      1001
   0.51200   0.59400  -0.06590 -0.7719E-03 -0.3681E-02    0.1488E+01  0.1062E+01      1001
   0.51200   0.59600  -0.06590 -0.2094E-02 -0.1196E-02    0.1520E+01  0.1058E+01      1001
   0.51200   0.59800  -0.06590 -0.1860E-02 -0.9634E-03    0.1531E+01  0.1059E+01      1001
   0.51200   0.60000  -0.06590 -0.1869E-02 -0.6398E-03    0.1531E+01  0.1055E+01      1001
   0.51200   0.60200  -0.06590 -0.1148E-02  0.2212E-03    0.1540E+01  0.1047E+01      1001
   0.51200   0.60400  -0.06590 -0.2074E-02  0.1564E-02    0.1513E+01  0.1051E+01      1001
   0.51200   0.60600  -0.06590 -0.1106E-02  0.2015E-02    0.1526E+01  0.1052E+01      1001
   0.51200   0.60800  -0.06590 -0.4658E-03  0.9460E-04    0.1516E+01  0.1050E+01      1001
   0.51200   0.61000  -0.06590 -0.5401E-03  0.1906E-02    0.1522E+01  0.1042E+01      1001
   0.51200   0.61200  -0.06590 -0.3453E-03  0.2047E-02    0.1531E+01  0.1048E+01      1001
   0.51200   0.61400  -0.06590 -0.1155E-02  0.2845E-02    0.1508E+01  0.1040E+01      1001
   0.51200   0.61600  -0.06590  0.2626E-04 -0.1226E-02    0.1504E+01  0.1030E+01      1001
   0.51200   0.61800  -0.06590 -0.3240E-04  0.4462E-02    0.1545E+01  0.1060E+01      1001
   0.51200   0.62000  -0.06590 -0.8111E-04  0.4294E-02    0.1534E+01  0.1053E+01      1001
   0.51200   0.62200  -0.06590 -0.7808E-05  0.4235E-02    0.1526E+01  0.1055E+01      1001
   0.51200   0.62400  -0.06590  0.6452E-05  0.4478E-02    0.1533E+01  0.1059E+01      1001
   0.51200   0.62600  -0.06590  0.2485E-03  0.4529E-02    0.1525E+01  0.1047E+01      1001
   0.51200   0.62800  -0.06590  0.3007E-03  0.4560E-02    0.1519E+01  0.1056E+01      1001
   0.51200   0.63000  -0.06590  0.4086E-03  0.4614E-02    0.1510E+01  0.1053E+01      1001
   0.51200   0.63200  -0.06590  0.5020E-03  0.4706E-02    0.1518E+01  0.1056E+01      1001
