# New buncher cavity
# On-axis Ez scaled to 1 V/m
# R(m)	Z(m)	Er(V/m)	Ez(V/m)	Bphi(T)
R	Z	Er	Ez	Bphi
0.001	-0.073	-0.0017304769918617502	0.03625998442680598	1.657819043020628e-12
0.001	-0.07400000000000001	-0.0015793479352958905	0.032954950768612476	1.506728732214128e-12
0.001	-0.075	-0.001430630211996383	0.02996395559127901	1.3699528217733769e-12
0.001	-0.076	-0.0012911370943434137	0.027243670250175826	1.2455579996313354e-12
0.001	-0.077	-0.0011786144880940419	0.024777516829096752	1.1328103963094953e-12
0.001	-0.078	-0.0010640259218326132	0.022545024113332663	1.0307236281001838e-12
0.001	-0.079	-0.0009674407213905355	0.02051655279815131	9.37987777439611e-13
0.001	-0.08	-0.0008734991962222444	0.01868839797046117	8.543897854469196e-13
0.001	-0.081	-0.000784487089319803	0.017030041193609964	7.785605515358599e-13
0.001	-0.08199999999999999	-0.0007138174419772933	0.015533947051140359	7.101631270318907e-13
0.001	-0.083	-0.000640234100271275	0.014184039987943334	6.484383910335868e-13
0.001	-0.084	-0.0005799030443082488	0.012965688737064199	5.927376976147827e-13
0.001	-0.085	-0.0005188498442680598	0.011872990555611373	5.427722336258717e-13
0.001	-0.086	-0.0004673057118456747	0.010888237214910076	4.97753681207682e-13
0.001	-0.087	-0.00041627461569376063	0.010011051944137445	4.576449523328045e-13
0.001	-0.08800000000000001	-0.0003721114236913493	0.009223789309755853	4.216545727142029e-13
0.001	-0.08900000000000001	-0.00032898749120868076	0.008528772731839645	3.898748678669152e-13
0.001	-0.09	-0.0002869938711946147	0.007910617401788405	3.616098454468074e-13
0.001	-0.091	-0.00025388953079473524	0.0073704536320707325	3.36917899369374e-13
0.001	-0.092	-0.00021749535315985127	0.006897606249372049	3.152979467111169e-13
0.001	-0.09300000000000001	-0.00018826421681904953	0.006492452024515222	2.967752388949526e-13
0.001	-0.094	-0.00015603963629056563	0.006146827589671455	2.8097258279106706e-13
0.001	-0.095	-0.00012967949362001406	0.005861524163568773	2.6792943374776705e-13
0.001	-0.096	-0.00010039309755852506	0.005629847784587561	2.5733804004825884e-13
0.001	-0.09699999999999999	-0.00007594318295991159	0.005453776499547875	2.492883598866821e-13
0.001	-0.098	-0.00004850792474630764	0.005327137546468402	2.4349868207612535e-13
0.001	-0.099	-0.000025011931076057465	0.005253730031146387	2.401418210421731e-13
0.001	-0.1	-1.515975082889581e-6	0.005227230483271375	2.389313309561169e-13
0.002	-0.001	-0.00004349932181251884	0.9993029739776951	9.126574438265716e-11
0.002	-0.002	-0.0000911132321912991	0.999233899326836	9.125943152692807e-11
0.002	-0.003	-0.00014446963227167687	0.9991145885662613	9.124838402940213e-11
0.002	-0.004	-0.00020857844368532102	0.998945041695971	9.123260189007935e-11
0.002	-0.005	-0.0002858277654978398	0.9987064201748216	9.121050689502749e-11
0.002	-0.006	-0.00038008703406008237	0.9983798854616698	9.117973172334809e-11
0.002	-0.006999999999999999	-0.0004954825178338189	0.9979528785290867	9.114027637504117e-11
0.002	-0.008	-0.0006361649753843061	0.9974002813222144	9.108898442224219e-11
0.002	-0.009000000000000001	-0.0008059316286546768	0.9966969757861951	9.10234885440527e-11
